Date,Name,Year,Letterboxd URI,Rating
2020-05-21,WALLÂ·E,2008,https://boxd.it/1VEo,5
2020-05-21,Catch Me If You Can,2002,https://boxd.it/29VS,5
2020-05-21,Spirited Away,2001,https://boxd.it/2b4m,5
2020-05-21,Cosmos: A SpaceTime Odyssey,2014,https://boxd.it/8fw2,5
2020-05-21,Death Note,2006,https://boxd.it/psEs,5
2020-05-21,The Great Dictator,1940,https://boxd.it/29ic,5
2020-05-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2020-05-21,"Monsters, Inc.",2001,https://boxd.it/2a46,4
2022-03-24,Drive My Car,2021,https://boxd.it/sv94,2.5
2020-05-21,Slumdog Millionaire,2008,https://boxd.it/1S3E,4.5
2020-05-21,Million Dollar Baby,2004,https://boxd.it/2bdI,4
2020-05-21,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,3.5
2020-05-21,The Godfather,1972,https://boxd.it/2aNK,3.5
2020-05-21,The Godfather: Part II,1974,https://boxd.it/2aNq,4.5
2020-05-21,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
